IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA11,CA12,CA20_15,CA23A,CA23C,CA23D,CA23E,CA23F,CA23G,CA24,CA25,CA26,CA7,CA8,CA8B3,OS1,PER1,Q1,Q31,STRADEF,CA23C_DETAIL_1,CA23C_DETAIL_10,CA23C_DETAIL_11,CA23C_DETAIL_12,CA23C_DETAIL_13,CA23C_DETAIL_14,CA23C_DETAIL_15,CA23C_DETAIL_16,CA23C_DETAIL_17,CA23C_DETAIL_18,CA23C_DETAIL_2,CA23C_DETAIL_3,CA23C_DETAIL_4,CA23C_DETAIL_6,CA23C_DETAIL_7,CA23C_DETAIL_8,CA23C_DETAIL_9,CA23G_1,CA23G_2,CA23G_3,CA23G_4,CA23G_5,CA26_8,CONTRAT_15,LIEUNAIS,PHD,PONDEF,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
A0040097,23,111,BASSE-NORMANDIE,25,6,6,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,40.720834681,11,5081,1,0,0,2
A0040179,23,111,PAYS DE LA LOIRE,52,3,3,2,1,8,2,2,,,2,,,,,,1,1,1,2,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,00,16,53.106555728,11,,2,3,8,2
A0040401,22,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,,,,2,2,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,48.501290963,11,3033,1,5,5,2
A0040436,24,112,BRETAGNE,53,6,4,1,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,34.042765689,54,1506,1,0,0,2
A0040576,23,111,ÎLE-DE-FRANCE,11,5,3,2,1,2,2,1,8,4,2,,,1,,,2,1,1,2,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,"02 CDI, Fonctionnaire",00,16,33.618179564,11,2817,1,6,6,2
A0040626,23,111,CHAMPAGNE-ARDENNE,21,1,3,2,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,54.812858323,11,2900,1,0,0,2
A0040633,25,111,PROVENCE-ALPES-CÔTE D'AZUR,93,6,6,2,3,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,01 Non salarié,00,16,39.287831539,11,,1,7,,2
A0040714,24,111,CHAMPAGNE-ARDENNE,21,1,1,1,2,,,,,,2,,,,,,1,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,70.667611853,83,2153.65625,1,0,14,2
A0040753,24,111,RHÔNE-ALPES,82,2,2,2,2,,,,,,2,,,,,,1,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,67.797489695,83,1842,1,0,3,2
A0040765,25,111,RHÔNE-ALPES,82,1,5,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,04 Emploi à durée déterminée,00,16,59.389572142,83,2137.15625,1,2,38,2
